nct_id,pubmed_id,trial_info,doc_info,label
NCT01636297,29225012,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: The Cyclical Lower-extremity Exercise for Parkinson's Trial | abstract: The purpose of this study is to gain a better understanding of how exercise training affects motor/hand function and brain function in those diagnosed with Parkinson's disease. The investigators want to study if exercise will improve hand function and improve the level of brain activity. | sponsor: The Cleveland Clinic | start_year: 2013.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name: Skin irritation | adverse_event_description: Organ System: Skin and subcutaneous tissue disorders
Frequency: 1 affected / 36 at risk | intervention_type: BEHAVIORAL | group_type: EXPERIMENTAL | intervention_name: Forced exercise | intervention_description: Exercise on a stationary cycle that was controlled by a motor, to augment voluntary cycling rate by 35%. Intervention was administered 3 times per week for 8 weeks","study_source: PubMed | population: 60 patients undergoing percutaneous tracheostomy, including 23 women and 37 men, average age 68.0 ± 15.5, mean body mass index 27.9 ± 4.3, mean APACHE II scores 27.4 ± 4.6. | interventions: Ultrasonography-guided out-of-plane application | outcomes: Significantly lower number of punctures, higher first entry success, and fewer complications compared to other groups. | group_type: EXPERIMENTAL | primary_endpoint: first entry success rate | primary_endpoint_domain: Physiological/clinical | primary_endpoint_subdomain: Surgical and medical procedures outcomes",0
NCT00096408,28350928,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: LACE - Laparoscopic Approach to Cancer of the Endometrium: An International Multicenter Randomized Phase 3 Clinical Trial | abstract: The primary objective of this study is to assess disease-free survival at 4.5 years postoperatively for women with apparent Stage 1 endometrial cancer, comparing patients who are randomised to receive Total Laparoscopic Hysterectomy (TLH) and patients who are randomised to receive Total Abdominal Hysterectomy (TAH). | sponsor: Queensland Centre for Gynaecological Cancer | start_year: 2005.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: PROCEDURE | group_type: ACTIVE_COMPARATOR | intervention_name: Total Abdominal Hysterectomy | intervention_description: For patients with clinical stage I disease, removal of the uterus and both tubes and ovaries are considered current standard treatment in Australia.","study_source: PubMed | population: Women with stage I endometrioid endometrial cancer, n=760 (353 in TAH group, 407 in TLH group) | interventions: Total Abdominal Hysterectomy (TAH) | outcomes: Disease-free survival rate was 81.3% at 4.5 years. | group_type: COMPARATOR | primary_endpoint: disease-free survival | primary_endpoint_domain: Mortality/survival | primary_endpoint_subdomain:",1
NCT00562393,20547978,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Effects of Excess Energy Intake on Metabolic Risk | abstract: The prevalence of obesity has reached epidemic proportions and is associated with the development of insulin resistance and type 2 diabetes (T2DM). A unifying theme has emerged over the past few years suggesting that lipid oversupply to metabolic organs responsible for glucose regulation leads to insulin resistance. Fitting with this, we and others have shown that increased lipid accumulation within skeletal muscle and/or liver is associated with impaired glucose uptake. However, the underlying mechanisms that mediate changes in muscle lipid metabolism are not yet known. The overall aim of this project is to examine metabolic effects of experimental weight gain in lean and overweight individuals with and without a genetic predisposition to type 2 diabetes. We hypothesise that lean subjects will increase fatty acid oxidation and upregulate mitochondrial oxidative capacity in muscle following overfeeding to protect against body weight gain and insulin resistance, but overweight subjects with a genetic predisposition to T2DM will have a defect in this ability. | sponsor: Garvan Institute of Medical Research | start_year: 2007.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: OTHER | group_type: EXPERIMENTAL | intervention_name: Nutritional | intervention_description: Overfeeding high fat diet for 28 days","study_source: PubMed | population: Thirty-six healthy individuals (lean and overweight) | interventions: Overfeeding by +1,250 kcal/day (45% fat) for 28 days | outcomes: Subjects gained 2.7 +/- 1.6 kg (P < 0.001) and increased fat mass by 1.1 +/- 1.6% (P < 0.001). Insulin sensitivity decreased by 11% from 54.6 +/- 18.7 to 48.9 +/- 15.7 micromol/(kg of FFM)/min (P = 0.01). Circulating C-reactive protein increased (P = 0.002) and monocyte chemoattractant protein-1 increased (P = 0.01). No change in interleukin-6, intercellular adhesion molecule-1, fat cell size, number of adipose tissue macrophages or T-cells, inflammatory gene expression, circulating immune cell number or expression of their surface activation markers. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",1
NCT00098371,25596730,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: A Phase II Study of Flavopiridol Administered as a 30 Minute Loading Dose Followed by a 4-Hour Continuous Infusion in Patients With Previously Treated B-Cell Chronic Lymphocytic Leukemia or Prolymphocytic Leukemia Arising From CLL | abstract: This phase II trial is studying how well flavopiridol works in treating patients with chronic lymphocytic leukemia or prolymphocytic leukemia. Drugs used in chemotherapy, such as flavopiridol, work in different ways to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing | sponsor: National Cancer Institute (NCI) | start_year: 2005.0 | drug_moa_id: -1.0 | drug_name: alvocidib | drug_description:  | adverse_event_name: Infection | adverse_event_description: Organ System: Infections and infestations
Notes: Serious Adverse events reported were deaths
Frequency: 4 affected / 64 at risk | intervention_type: DRUG | group_type: EXPERIMENTAL | intervention_name: alvocidib | intervention_description:","study_source: PubMed | population: Patients with chronic lymphocytic leukemia and acute myeloid leukemia, population size not specified, some patients exhibit primary or acquired resistance to flavopiridol. | interventions: Flavopiridol | outcomes: Resistance developed through up-regulation of phosphorylation of RNA polymerase II C-terminal domain, activation of CDK9 kinase activity, and prolonged Mcl-1 stability. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",1
NCT01526096,31940591,study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Pilot Study T Cell Depletion in the Setting of Autologous Stem Cell Transplantation for Patients With Multiple Myeloma | abstract: The purpose of this study is to test whether regulatory T-cell reduction is possible and safe in myeloma subjects undergoing autologous stem cell transplantation (ASCT). | sponsor: University of Chicago | start_year: 2011.0 | drug_moa_id: 4987.0 | drug_name: G-CSF | drug_description: G-CSF will be self-administered shot daily for 4 days pre-transplant. Up to 8 doses of G-CSF may be given. G-CSF will also be administered once daily under the skin beginning 5 days after your stem cell infusion until your white blood cell count is high enough | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: EXPERIMENTAL | intervention_name: G-CSF | intervention_description: G-CSF will be self-administered shot daily for 4 days pre-transplant. Up to 8 doses of G-CSF may be given. G-CSF will also be administered once daily under the skin beginning 5 days after your stem cell infusion until your white blood cell count is high enough,"study_source: PubMed | population: Patients with multiple myeloma (MM) undergoing autologous stem cell transplantation (ASCT). Total population size is 15 patients, with 5 patients in each arm (IVTRD, EVTRD, and control). | interventions: In vivo Treg depletion (IVTRD) with basiliximab 20 mg IV on day +1 post-ASCT | outcomes: Led to reductions in Treg frequency between days +7 and +90 post-transplant compared with the control (p=0.007). | group_type: EXPERIMENTAL | primary_endpoint: Treg frequency reduction | primary_endpoint_domain: Physiological/clinical | primary_endpoint_subdomain: Immune system outcomes",1
NCT01087593,21078629,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Hormonal Replacement Therapy Does Not Affect Self-estimated Pain or Experimental Pain Responses in Postmenopausal Women Suffering From Fibromyalgia: A Double-blind, Randomized, Placebo-controlled Trial | abstract: In order to evaluate the potential effects of estrogen treatment in postmenopausal women with fibromyalgia, the investigators used quantitative sensory tests before and after eight weeks of estrogen treatment as compared with placebo treatment. | sponsor: Ostergotland County Council, Sweden | start_year: 2001.0 | drug_moa_id: 1057.0 | drug_name: 17β-estradiol | drug_description: Transdermal administration(50 ug daily)for a period of ten weeks with additional treatment of medroxyprogesterone (10mg daily) for the last two weeks | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: PLACEBO_COMPARATOR | intervention_name: 17β-estradiol | intervention_description: Transdermal administration(50 ug daily)for a period of ten weeks with additional treatment of medroxyprogesterone (10mg daily) for the last two weeks",study_source: PubMed | population: Twenty-nine post-menopausal women suffering from fibromyalgia (FM) | interventions: Transdermal 17β-oestradiol (50 µg/day) | outcomes: No differences in self‐estimated pain were seen between treatment and placebo groups. | group_type: EXPERIMENTAL | primary_endpoint: serum oestradiol levels | primary_endpoint_domain: Physiological/clinical | primary_endpoint_subdomain: Endocrine outcomes,1
NCT02991924,27927660,"study_source: ClinicalTrials.gov | trial_type: OBSERVATIONAL | title: Risk Factors of Medistinal Metastasis in Endoscopic Medistinal Staging of Non-small Cell Lung Cancer | abstract: The purpose of this study is to investigate risk factors for mediastinal lymph node metastasis in potentially operable non-small cell lung cancer in order to find indications for endoscopic mediastinal staging. Chest CT, integrated PET/CT, and endobronchial ultrasound guided transbronchial needle aspiration (EBUS-TBNA) +/- endoscopic ultrasound with bronchoscope-guided fine needle aspiration (EUS-B-FNA) are performed for mediastinal staging. CT and PET/CT findings, histologic types and other risk factors will be analyzed. The investigators develop the prediction method for mediastinal metastasis. | sponsor: National Cancer Center, Korea | start_year: 2016.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type:  | group_type:  | intervention_name:  | intervention_description:","study_source: PubMed | population: Patients with gastro-oesophageal adenocarcinoma undergoing perioperative chemotherapy, n=60 per group | interventions: Prehabilitation | outcomes: Percentage of patients reaching the complete oncological treatment decided in a multidisciplinary tumour board. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",0
NCT03292692,31380690,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Empirically-Based Couple Interventions on the Web: Serving the Underserved | abstract: Although several empirically-supported interventions to prevent and treat relationship distress have been developed, the majority of couples - especially high-risk couples - do not seek these face-to-face interventions. However, our pilot data indicate that large numbers of couples will seek self-administered assistance for their relationship. Additionally, unlike many in-person interventions, couples seeking self-help resources tend to have higher levels of relationship distress. Thus, to improve the reach of couple interventions, this project will translate a leading empirically-supported intervention targeting early signs of relationship distress into a Web-based format. This intervention will consist of individualized feedback and professionally-filmed video clips tailored to a couple's specific needs. By intervening effectively with a large number of couples, the resulting Web-based intervention has the potential to have a population-level impact on relationship distress, divorce, and resulting child difficulties.~In the proposed project, building off our previous pilot studies, effective translation of this in-person intervention into a Web-based format will be ensured by conducting two additional intensive pilot studies. Once final changes have been made to the website and Web-based intervention, 300 couples will be randomly assigned to a wait-list control group or an online intervention. All couples will be assessed for the initial two months; intervention couples will be assessed for one year. This project will: 1) demonstrate that couples randomly assigned to the online intervention will report higher levels of individual, child, and relationship functioning than those in the wait-list control group; 2) document the mechanisms of both active conditions; and 3) show that initial gains in those assigned to the intervention are largely maintained through one-year follow-up. | sponsor: University of Miami | start_year: 2013.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: BEHAVIORAL | group_type: EXPERIMENTAL | intervention_name: OurRelationship | intervention_description: Online intervention with coach support","study_source: PubMed | population: Couples (300 couples, 600 individuals) experiencing relationship distress, randomly assigned to either the OurRelationship program or a waitlist control group. | interventions: OurRelationship program | outcomes: Improved relationship satisfaction during the intervention and maintained gains through 12-month follow-up. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",1
NCT00663871,28121722,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: BioBehavioral Studies of Cardiovascular Disease | abstract: Omega-3 fatty acids are a certain kind of fish fat that has recently been shown to have health benefits. This study will examine the effectiveness of fish oil supplementation for reducing the early signs of heart disease risk and for improving mood, impulsivity, and anger levels. | sponsor: University of Pittsburgh | start_year: 2008.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name: Fishy belch or after-taste | adverse_event_description: Organ System: General disorders
Frequency: 51 affected / 134 at risk | intervention_type: DIETARY_SUPPLEMENT | group_type: ACTIVE_COMPARATOR | intervention_name: Fish Oil | intervention_description: Participants will take 2 grams (1400 mg EPA and DHA) of fish oil supplements on a daily basis.",study_source: PubMed | population: Healthy adults with low intake of omega-3 fatty acids (N = 272) | interventions: 1000 mg of EPA and 400 mg of DHA per day for 18 weeks | outcomes: No group by time interactions for any questionnaire or ecological momentary assessment measures of mood and impulsivity. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:,1
NCT01779765,26855665,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: The Efficacy of Hydrolyzed Guar Gum ( PHGG) in the Treatment of Patients With Irritable Bowel Syndrome- a Double Blind, Placebo - Controlled, Randomized Study | abstract: This study objective is to assess the short and long term effects of partially hydrolyzed guar gum (PHGG) administration on clinical symptoms of IBS and quality of life of these patients. | sponsor: Tel-Aviv Sourasky Medical Center | start_year: 2013.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: DIETARY_SUPPLEMENT | group_type: EXPERIMENTAL | intervention_name: PHGG | intervention_description:","study_source: PubMed | population: Patients with Irritable Bowel Syndrome (IBS), total of 121 patients randomized, 108 patients analyzed (49 in PHGG group, 59 in placebo group). | interventions: Partially hydrolyzed guar gum (PHGG) 6 g/day | outcomes: Significant improvement in journal bloating score (-4.1±13.4) compared to placebo (-1.2±11.9), P=0.03. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",1
